ID Continent,Continent,Continent PT,Continent ES,ID Country,Country,Country PT,Country ES
af,Africa,África,África,1,Senegal,Senegal,Senegal
af,Africa,África,África,2,South Africa,África do Sul,Sudáfrica
eu,Europe,Europa,Europa,3,Germany,Alemanha,Alemania
eu,Europe,Europa,Europa,4,France,França,Francia
na,North America,América do Norte,Norteamérica,5,Canada,Canadá,Canadá
na,North America,América do Norte,Norteamérica,6,United States,Estados Unidos,Estados Unidos
sa,South America,América do Sul,Sudamerica,7,Brazil,Brasil,Brasil
sa,South America,América do Sul,Sudamerica,8,Chile,Chile,Chile
